outcome,outs,on_third,num_pitches,is_hitters_count,is_pitchers_count,pickoffs_to_first,pitchouts,pitches_run_on,pitcher_throws_left,batter_bats_left,p_sb_rate_2017,p_pickoff_rate_2018,p_fastball_rate_2018,r_sb_rate_2017,r_sprint_speed_2018,c_sb_rate_2017,c_pop_2b_sba_2018
SUCCESS,2,True,2,False,True,0,0,0,True,True,0.5,0.07692307692307693,0.5660592255125285,0.8095238095238095,28.1,0.5800000000000001,2.07
SUCCESS,2,False,0,False,False,0,0,1,False,False,1.0,0.0,0.8143322475570033,0.6470588235294118,29.4,0.5800000000000001,2.07
SUCCESS,2,False,0,False,False,0,0,0,True,True,1.0,0.04081632653061224,0.7268475210477081,0.8095238095238095,28.1,0.5800000000000001,2.07
SUCCESS,1,False,1,False,False,0,0,1,True,True,0.42857142857142855,0.013333333333333334,0.5386969829470922,0.7777777777777778,29.7,0.69,1.98
SUCCESS,1,False,3,False,False,2,0,2,False,True,0.6,0.010752688172043012,0.5495033643063121,0.7222222222222222,28.2,0.61,1.99
SUCCESS,1,True,1,False,False,0,0,1,False,True,0.8571428571428571,0.0,0.5290880503144654,0.75,28.7,0.76,2.04
SUCCESS,0,True,0,False,False,0,0,0,False,False,1.0,0.0,0.5438829787234043,0.7777777777777778,28.1,,1.99
SUCCESS,2,True,4,False,True,0,0,1,True,False,1.0,0.0,0.5536609829488466,1.0,25.3,,1.99
SUCCESS,2,True,3,False,True,0,0,0,True,False,0.6,0.0,0.6926449098879688,0.75,28.7,0.62,2.01
FAILURE,0,False,10,False,False,0,0,2,False,False,,0.0,0.7156862745098039,0.7058823529411765,26.8,0.71,2.04
FAILURE,2,False,1,False,False,3,0,0,True,False,0.42857142857142855,0.013333333333333334,0.5386969829470922,0.8333333333333334,28.1,,1.99
FAILURE,1,False,6,False,False,1,0,2,True,False,0.42857142857142855,0.013333333333333334,0.5386969829470922,0.75,28.7,,1.99
SUCCESS,2,False,3,False,True,1,0,1,False,True,,0.0,0.5081818181818182,0.7058823529411765,26.8,0.71,2.04
SUCCESS,1,False,1,False,False,0,0,1,False,True,1.0,0.0,0.6625641025641026,,30.2,0.69,1.98
SUCCESS,1,False,4,False,True,1,0,0,False,True,1.0,0.0,0.39957716701902746,0.6666666666666666,28.2,0.76,1.92
FAILURE,1,False,8,False,True,3,0,2,True,True,0.5,0.0,0.48504137492043287,0.75,29.2,0.69,1.98
