last_name, first_name,player_id,year,r_total_caught_stealing,r_total_stolen_base,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_pickoff_1b,r_pickoff_2b,r_pickoff_3b,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,r_total_pickoff,n_bolts,hp_to_1b,sprint_speed,
Romine, Austin,519222,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.46,26.5,
Rupp, Cameron,519237,2017,0,1,0,0,0,0,2,0,0,1,0,2,,4.83,24.9,
Smolinski, Jake,519295,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,27.6,
Sogard, Eric,519299,2017,3,3,2,1,0,1,0,0,1,2,0,1,,4.26,26.7,
Souza Jr., Steven,519306,2017,4,16,4,0,0,1,1,0,9,7,0,2,11,4.26,29.0,
Stanton, Giancarlo,519317,2017,2,2,2,0,0,0,0,0,2,0,0,0,,4.5,27.8,
Szczur, Matt,519333,2017,2,0,2,0,0,0,0,0,0,0,0,0,,4.17,28.4,
Thames, Eric,519346,2017,2,4,2,0,0,0,0,0,4,0,0,0,,4.24,27.2,
Vogt, Stephen,519390,2017,1,0,1,0,0,0,0,0,0,0,0,0,,4.55,25.5,
Galvis, Freddy,520471,2017,5,14,2,2,1,2,0,1,12,2,0,3,,4.29,27.3,
Perez, Salvador,521692,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.74,25.5,
Forsythe, Logan,523253,2017,2,3,2,0,0,1,0,0,3,0,0,1,,4.47,27.5,
Flores, Wilmer,527038,2017,1,1,0,1,0,0,0,0,1,0,0,0,,4.56,25.7,
Marte, Jefry,527043,2017,0,1,0,0,0,0,0,0,0,1,0,0,,4.45,27.7,
Puello, Cesar,527049,2017,0,2,0,0,0,0,0,0,1,1,0,0,,4.4,27.8,
Teheran, Julio,527054,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.0,
Adleman, Tim,534947,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.6,
Nava, Daniel,537953,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.67,26.0,
Garcia, Avisail,541645,2017,3,5,1,0,2,0,0,1,5,0,0,1,27,4.28,29.1,
Perez, Hernan,541650,2017,4,13,4,0,0,2,1,0,7,6,0,3,2,4.21,28.4,
Perez, Carlos,542208,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,23.7,
Inciarte, Ender,542255,2017,9,22,9,0,0,2,0,0,16,6,0,2,,4.15,27.1,
Ozuna, Marcell,542303,2017,3,1,3,0,0,0,0,0,1,0,0,0,2,4.39,27.8,
Villar, Jonathan,542340,2017,8,23,6,2,0,4,2,0,16,7,0,6,,4.16,27.9,
Adames, Cristhian,542436,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Santana, Danny,542454,2017,0,7,0,0,0,0,0,0,5,2,0,0,5,4.23,27.9,
Telis, Tomas,542513,2017,0,0,0,0,0,0,0,0,0,0,0,0,,4.5,26.2,
Aguilar, Jesus,542583,2017,0,0,0,0,0,0,1,0,0,0,0,1,,4.76,24.5,
Liriano, Rymer,542642,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.35,28.3,
Anderson, Tyler,542881,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Bandy, Jett,542908,2017,0,1,0,0,0,0,0,0,1,0,0,0,,4.94,23.8,
Beckham, Tim,542921,2017,5,6,5,0,0,1,0,0,6,0,0,1,,4.37,28.1,
Brantly, Rob,542963,2017,0,0,0,0,0,0,0,0,0,0,0,0,,,24.2,
Broxton, Keon,542979,2017,7,21,5,1,1,1,0,1,20,1,0,2,43,4.06,29.9,
